2020-01-21 00:53:51 install lsb-base:all <none> 9.20161125
2020-01-21 00:53:51 status half-installed lsb-base:all 9.20161125
2020-01-21 00:53:52 status unpacked lsb-base:all 9.20161125
2020-01-21 00:53:52 status unpacked lsb-base:all 9.20161125
2020-01-21 00:53:52 install liblz4-1:armhf <none> 0.0~r131-2+b1
2020-01-21 00:53:52 status half-installed liblz4-1:armhf 0.0~r131-2+b1
2020-01-21 00:53:53 status unpacked liblz4-1:armhf 0.0~r131-2+b1
2020-01-21 00:53:53 status unpacked liblz4-1:armhf 0.0~r131-2+b1
2020-01-21 00:53:53 upgrade mawk:armhf 1.3.3-17+b3 1.3.3-17+b3
2020-01-21 00:53:53 status half-configured mawk:armhf 1.3.3-17+b3
2020-01-21 00:53:54 status unpacked mawk:armhf 1.3.3-17+b3
2020-01-21 00:53:54 status half-installed mawk:armhf 1.3.3-17+b3
2020-01-21 00:53:54 status half-installed mawk:armhf 1.3.3-17+b3
2020-01-21 00:53:54 status unpacked mawk:armhf 1.3.3-17+b3
2020-01-21 00:53:54 status unpacked mawk:armhf 1.3.3-17+b3
2020-01-21 00:53:55 install libncursesw5:armhf <none> 6.0+20161126-1+deb9u2
2020-01-21 00:53:55 status half-installed libncursesw5:armhf 6.0+20161126-1+deb9u2
2020-01-21 00:53:55 status unpacked libncursesw5:armhf 6.0+20161126-1+deb9u2
2020-01-21 00:53:55 status unpacked libncursesw5:armhf 6.0+20161126-1+deb9u2
2020-01-21 00:53:56 install libtinfo5:armhf <none> 6.0+20161126-1+deb9u2
2020-01-21 00:53:56 status half-installed libtinfo5:armhf 6.0+20161126-1+deb9u2
2020-01-21 00:53:56 status unpacked libtinfo5:armhf 6.0+20161126-1+deb9u2
2020-01-21 00:53:56 status unpacked libtinfo5:armhf 6.0+20161126-1+deb9u2
2020-01-21 00:53:57 install ncurses-base:all <none> 6.0+20161126-1+deb9u2
2020-01-21 00:53:57 status half-installed ncurses-base:all 6.0+20161126-1+deb9u2
2020-01-21 00:53:58 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2020-01-21 00:53:58 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2020-01-21 00:53:58 install ncurses-bin:armhf <none> 6.0+20161126-1+deb9u2
2020-01-21 00:53:58 status half-installed ncurses-bin:armhf 6.0+20161126-1+deb9u2
2020-01-21 00:53:59 status unpacked ncurses-bin:armhf 6.0+20161126-1+deb9u2
2020-01-21 00:53:59 status unpacked ncurses-bin:armhf 6.0+20161126-1+deb9u2
2020-01-21 00:54:00 install libpam-modules:armhf <none> 1.1.8-3.6
2020-01-21 00:54:00 status half-installed libpam-modules:armhf 1.1.8-3.6
2020-01-21 00:54:01 status unpacked libpam-modules:armhf 1.1.8-3.6
2020-01-21 00:54:01 status unpacked libpam-modules:armhf 1.1.8-3.6
2020-01-21 00:54:01 install libpam-modules-bin:armhf <none> 1.1.8-3.6
2020-01-21 00:54:01 status half-installed libpam-modules-bin:armhf 1.1.8-3.6
2020-01-21 00:54:02 status unpacked libpam-modules-bin:armhf 1.1.8-3.6
2020-01-21 00:54:02 status unpacked libpam-modules-bin:armhf 1.1.8-3.6
2020-01-21 00:54:03 install libpam-runtime:all <none> 1.1.8-3.6
2020-01-21 00:54:03 status half-installed libpam-runtime:all 1.1.8-3.6
2020-01-21 00:54:03 status unpacked libpam-runtime:all 1.1.8-3.6
2020-01-21 00:54:03 status unpacked libpam-runtime:all 1.1.8-3.6
2020-01-21 00:54:04 install libpam0g:armhf <none> 1.1.8-3.6
2020-01-21 00:54:04 status half-installed libpam0g:armhf 1.1.8-3.6
2020-01-21 00:54:04 status unpacked libpam0g:armhf 1.1.8-3.6
2020-01-21 00:54:04 status unpacked libpam0g:armhf 1.1.8-3.6
2020-01-21 00:54:05 install libpcre3:armhf <none> 2:8.39-3
2020-01-21 00:54:05 status half-installed libpcre3:armhf 2:8.39-3
2020-01-21 00:54:05 status unpacked libpcre3:armhf 2:8.39-3
2020-01-21 00:54:06 status unpacked libpcre3:armhf 2:8.39-3
2020-01-21 00:54:06 upgrade perl-base:armhf 5.24.1-3+deb9u5 5.24.1-3+deb9u5
2020-01-21 00:54:06 status half-configured perl-base:armhf 5.24.1-3+deb9u5
2020-01-21 00:54:06 status unpacked perl-base:armhf 5.24.1-3+deb9u5
2020-01-21 00:54:06 status half-installed perl-base:armhf 5.24.1-3+deb9u5
2020-01-21 00:54:08 status half-installed perl-base:armhf 5.24.1-3+deb9u5
2020-01-21 00:54:08 status unpacked perl-base:armhf 5.24.1-3+deb9u5
2020-01-21 00:54:08 status unpacked perl-base:armhf 5.24.1-3+deb9u5
2020-01-21 00:54:08 install sed:armhf <none> 4.4-1
2020-01-21 00:54:08 status half-installed sed:armhf 4.4-1
2020-01-21 00:54:09 status unpacked sed:armhf 4.4-1
2020-01-21 00:54:09 status unpacked sed:armhf 4.4-1
2020-01-21 00:54:10 install sensible-utils:all <none> 0.0.9+deb9u1
2020-01-21 00:54:10 status half-installed sensible-utils:all 0.0.9+deb9u1
2020-01-21 00:54:10 status unpacked sensible-utils:all 0.0.9+deb9u1
2020-01-21 00:54:10 status unpacked sensible-utils:all 0.0.9+deb9u1
2020-01-21 00:54:11 install login:armhf <none> 1:4.4-4.1
2020-01-21 00:54:11 status half-installed login:armhf 1:4.4-4.1
2020-01-21 00:54:12 status unpacked login:armhf 1:4.4-4.1
2020-01-21 00:54:12 status unpacked login:armhf 1:4.4-4.1
2020-01-21 00:54:13 install passwd:armhf <none> 1:4.4-4.1
2020-01-21 00:54:13 status half-installed passwd:armhf 1:4.4-4.1
2020-01-21 00:54:15 status unpacked passwd:armhf 1:4.4-4.1
2020-01-21 00:54:15 status unpacked passwd:armhf 1:4.4-4.1
2020-01-21 00:54:15 install libsystemd0:armhf <none> 232-25+deb9u12
2020-01-21 00:54:15 status half-installed libsystemd0:armhf 232-25+deb9u12
2020-01-21 00:54:15 status unpacked libsystemd0:armhf 232-25+deb9u12
2020-01-21 00:54:16 status unpacked libsystemd0:armhf 232-25+deb9u12
2020-01-21 00:54:16 install libudev1:armhf <none> 232-25+deb9u12
2020-01-21 00:54:16 status half-installed libudev1:armhf 232-25+deb9u12
2020-01-21 00:54:17 status unpacked libudev1:armhf 232-25+deb9u12
2020-01-21 00:54:17 status unpacked libudev1:armhf 232-25+deb9u12
2020-01-21 00:54:17 install sysvinit-utils:armhf <none> 2.88dsf-59.9
2020-01-21 00:54:17 status half-installed sysvinit-utils:armhf 2.88dsf-59.9
2020-01-21 00:54:17 status unpacked sysvinit-utils:armhf 2.88dsf-59.9
2020-01-21 00:54:17 status unpacked sysvinit-utils:armhf 2.88dsf-59.9
2020-01-21 00:54:18 install tar:armhf <none> 1.29b-1.1
2020-01-21 00:54:18 status half-installed tar:armhf 1.29b-1.1
2020-01-21 00:54:19 status unpacked tar:armhf 1.29b-1.1
2020-01-21 00:54:19 status unpacked tar:armhf 1.29b-1.1
2020-01-21 00:54:19 install tzdata:all <none> 2019b-0+deb9u1
2020-01-21 00:54:19 status half-installed tzdata:all 2019b-0+deb9u1
2020-01-21 00:54:21 status unpacked tzdata:all 2019b-0+deb9u1
2020-01-21 00:54:21 status unpacked tzdata:all 2019b-0+deb9u1
2020-01-21 00:54:21 install libustr-1.0-1:armhf <none> 1.0.4-6
2020-01-21 00:54:21 status half-installed libustr-1.0-1:armhf 1.0.4-6
2020-01-21 00:54:22 status unpacked libustr-1.0-1:armhf 1.0.4-6
2020-01-21 00:54:22 status unpacked libustr-1.0-1:armhf 1.0.4-6
2020-01-21 00:54:22 install bsdutils:armhf <none> 1:2.29.2-1+deb9u1
2020-01-21 00:54:22 status half-installed bsdutils:armhf 1:2.29.2-1+deb9u1
